,word1,word2,val
1040,퇴근,느낌,8133
1041,출발,갓생,8132
1042,필요,책,8128
1043,어른,갓생,8120
1044,노력,공부,8117
1045,관련,갓생,8116
1046,종일,블로그,8113
1047,추가,점심,8111
1048,점심,오전,8111
1049,선물,서울,8102
1050,오늘,결과,8099
1051,피곤,커피,8098
1052,학기,공부,8089
1053,오늘,그게,8088
1054,오늘,겨울,8085
1055,할머니,갓생,8085
1056,약속,노래,8081
1057,서울,맛집,8079
1058,축하,시작,8078
1059,인생,가족,8074
1060,초코,오늘,8071
1061,운동,서울,8067
1062,이유,새벽,8066
1063,운동,버스,8065
1064,시작,방법,8056
1065,진심,선물,8056
1066,지금,운동,8055
1067,진짜,갓생,8053
1068,카페,게임,8053
1069,선물,버스,8052
1070,여성,갓생,8049
1071,예전,블로그,8046
1072,후회,시작,8042
1073,커피,진심,8042
1074,기준,갓생,8041
1075,카페,조합,8038
1076,주문,도착,8036
1077,블로그,도전,8029
1078,여행,맛집,8025
1079,오늘,라떼,8025
1080,오늘,감동,8021
1081,본인,갓생,8005
1082,출근,노래,8000
1083,출근,일상,7995
1084,충격,갓생,7992
1085,기회,갓생,7989
1086,약속,도착,7985
1087,성공,선물,7983
1088,운동,메뉴,7982
1089,시작,방학,7975
1090,취향,오늘,7975
1091,타임,카페,7973
1092,행복,노력,7970
1093,오늘,구매,7969
1094,퇴근,노래,7968
1095,오늘,거기,7965
1096,입맛,갓생,7963
1097,피자,시작,7962
1098,메뉴,도착,7961
1099,행복,다행,7961
1100,커피,발견,7959
1101,카페,추억,7954
1102,공부,결과,7942
1103,마감,갓생,7941
1104,메뉴,공부,7934
1105,카페,오전,7930
1106,블로그,그게,7928
1107,신발,갓생,7926
1108,시작,사고,7923
1109,핸드폰,갓생,7923
1110,주일,선물,7919
1111,선물,눈물,7914
1112,시작,가방,7911
1113,행복,그게,7909
1114,전화,공부,7909
1115,유튜브,공부,7902
1116,운동,기록,7899
1117,학교,상태,7898
1118,카페,구매,7898
1119,카페,거리,7895
1120,주일,노래,7895
1121,여행,노래,7892
1122,학교,서울,7890
1123,체력,시작,7890
1124,주일,수업,7882
1125,신경,갓생,7880
1126,시작,부족,7880
1127,행복,예약,7876
1128,카페,생활,7873
1129,아무것,시작,7868
1130,자랑,시작,7865
1131,시작,관심,7863
1132,검색,갓생,7852
1133,카페,기록,7851
1134,블로그,동네,7851
1135,식당,시작,7849
1136,책,주말,7848
1137,듯이,갓생,7845
1138,퇴근,일상,7844
1139,시작,간식,7842
1140,카페,축하,7838
1141,이용,갓생,7837
1142,오늘,여유,7836
1143,퇴근,새벽,7834
1144,졸업,갓생,7830
1145,책,정리,7829
1146,공유,갓생,7825
1147,시작,샐러드,7825
1148,운동,상태,7824
1149,인생,마무리,7820
1150,행복,기록,7819
1151,파스타,시작,7818
1152,점심,걱정,7817
1153,시작,동기,7816
1154,학교,내일,7814
1155,행복,기간,7813
1156,과제,공부,7813
1157,카페,주간일기,7811
1158,셀카,갓생,7810
1159,실패,블로그,7809
1160,그녀,갓생,7807
1161,인스타,노래,7807
1162,주말,노래,7802
1163,카페,주변,7802
1164,블로그,게임,7801
1165,취향,블로그,7800
1166,블로그,결과,7794
1167,주일,느낌,7793
1168,행복,축하,7788
1169,학교,발견,7784
1170,선물,메뉴,7784
1171,시작,라면,7784
1172,블로그,감성,7781
